account_id,account_name,opening_date,initial_amount,currency,is_active,is_reserve,is_credit
1,Main Checking Account,2022-01-15,1273.86,RUB,TRUE,FALSE,FALSE
2,Secondary Checking Account,2023-04-10,0,RUB,TRUE,FALSE,FALSE
3,Credit Account A,2024-05-01,16931.208,RUB,TRUE,FALSE,TRUE
4,Investment Account,2022-11-18,0,RUB,TRUE,FALSE,FALSE
5,Daily Spending Account,2024-07-05,27177.57,RUB,TRUE,FALSE,FALSE
6,Savings Account A,2022-04-22,27967.28,RUB,TRUE,FALSE,FALSE
7,Savings Account B,2022-06-30,17368.092,RUB,TRUE,FALSE,FALSE
8,Digital Wallet A,2024-12-10,8758.269,RUB,TRUE,FALSE,FALSE
9,Credit Account B,2025-01-12,4029120.18,RUB,TRUE,FALSE,TRUE
10,Backup Account A,2025-02-09,0,RUB,TRUE,FALSE,FALSE
11,Reserve Account A,2023-02-14,834960.504,RUB,TRUE,TRUE,FALSE
12,Weekly Budget Account,2025-01-05,1170,RUB,TRUE,FALSE,FALSE
13,Education Liability Account,2024-08-15,187566.57,RUB,TRUE,FALSE,TRUE
14,Backup Account B,2024-01-10,13589.048,RUB,TRUE,FALSE,FALSE
15,Reserve Account B,2023-05-01,808561.32,RUB,TRUE,TRUE,FALSE
16,Digital Wallet B,2024-11-08,18595.512,RUB,TRUE,FALSE,FALSE
17,Reserve Account C,2023-09-01,899995.23,RUB,TRUE,TRUE,FALSE
18,Emergency Fund,2022-01-01,2777569.52,RUB,TRUE,TRUE,FALSE
19,Main Debit Account,2022-01-15,603682.884,RUB,TRUE,FALSE,FALSE
20,Project Reserve Account,2023-08-01,7401771,RUB,FALSE,FALSE,FALSE
21,Backup Account C,2026-03-31,0,RUB,TRUE,FALSE,FALSE
22,Foreign Account A,2025-03-18,137.28,USD,TRUE,FALSE,FALSE
23,Foreign Account B,2025-03-18,0,KGS,TRUE,FALSE,FALSE
24,Foreign Account C,2025-03-18,0,USD,TRUE,FALSE,FALSE
25,Digital Wallet C,2026-04-17,0,RUB,TRUE,FALSE,FALSE
26,Foreign Account D,2025-03-18,0,USD,TRUE,FALSE,FALSE
